year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,133625,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,76626,DOLLARS(millions)
2011,B,Mining,a_0,Activity unit,333,COUNT
2011,B,Mining,a_0,Rolling mean employees,0,COUNT
2011,B,Mining,a_0,Salaries and wages paid,98,DOLLARS(millions)
2011,B,Mining,a_0,"Sales, government funding, grants and subsidies",2111,DOLLARS(millions)
2011,B,Mining,a_0,Total income,2271,DOLLARS(millions)
2011,B,Mining,a_0,Total expenditure,1673,DOLLARS(millions)
2011,B,Mining,a_0,Operating profit before tax,636,DOLLARS(millions)
2011,B,Mining,a_0,Total assets,11988,DOLLARS(millions)
2011,B,Mining,a_0,Fixed tangible assets,3579,DOLLARS(millions)
2011,B,Mining,b_1-5,Activity unit,168,COUNT
2011,B,Mining,b_1-5,Rolling mean employees,360,COUNT
2011,B,Mining,b_1-5,Salaries and wages paid,50,DOLLARS(millions)
2011,B,Mining,b_1-5,"Sales, government funding, grants and subsidies",443,DOLLARS(millions)
2011,B,Mining,b_1-5,Total income,462,DOLLARS(millions)
2011,B,Mining,b_1-5,Total expenditure,411,DOLLARS(millions)
2011,B,Mining,b_1-5,Operating profit before tax,89,DOLLARS(millions)
2011,B,Mining,b_1-5,Total assets,1213,DOLLARS(millions)
2011,B,Mining,b_1-5,Fixed tangible assets,771,DOLLARS(millions)
2011,B,Mining,c_6-9,Activity unit,21,COUNT
2011,B,Mining,c_6-9,Rolling mean employees,174,COUNT
2011,B,Mining,c_6-9,Salaries and wages paid,12,DOLLARS(millions)
2011,B,Mining,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2011,B,Mining,c_6-9,Total income,65,DOLLARS(millions)
2011,B,Mining,c_6-9,Total expenditure,68,DOLLARS(millions)
2011,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions)
2011,B,Mining,c_6-9,Total assets,169,DOLLARS(millions)
2011,B,Mining,c_6-9,Fixed tangible assets,36,DOLLARS(millions)
2011,B,Mining,d_10-19,Activity unit,36,COUNT
2011,B,Mining,d_10-19,Rolling mean employees,489,COUNT
2011,B,Mining,d_10-19,Salaries and wages paid,31,DOLLARS(millions)
2011,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",261,DOLLARS(millions)
2011,B,Mining,d_10-19,Total income,265,DOLLARS(millions)
